,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
143,1,0,2,1,2,2,0,1,3,4
144,1,0,1,1,2,0,1,1,3,1
145,1,0,1,1,2,1,0,1,4,3
146,1,0,2,1,1,1,1,1,2,3
147,1,0,1,1,1,1,1,1,1,3
148,0,0,2,2,2,0,0,1,3,1
149,1,0,1,3,2,1,0,1,4,3
150,1,0,1,2,2,0,0,1,3,3
151,1,0,1,2,2,0,0,1,3,1
152,1,0,1,1,2,2,0,1,4,4
153,0,0,2,2,2,0,0,1,4,3
154,1,0,2,1,2,0,1,1,3,1
155,1,0,1,1,2,1,1,1,3,1
156,1,0,2,1,0,2,0,1,4,4
157,1,0,1,1,0,2,0,1,3,4
158,1,0,1,2,0,0,1,1,3,1
159,1,0,1,1,0,1,0,1,3,1
160,1,0,2,1,0,1,0,1,3,4
161,1,0,1,2,0,0,1,1,3,4
162,1,0,2,1,0,1,1,1,3,4
163,1,0,2,1,2,1,1,1,3,4
164,1,0,1,1,2,1,1,1,3,1
165,1,0,1,1,1,0,1,1,4,1
166,1,0,2,1,1,0,1,1,3,3
167,1,0,2,1,0,1,0,1,3,4
168,1,0,1,1,0,1,1,1,3,1
169,1,0,1,1,2,0,1,1,3,1
170,1,0,2,1,0,0,0,1,2,4
171,1,0,1,2,0,0,0,1,4,4
172,1,0,1,1,2,1,1,1,3,1
173,1,0,2,1,0,2,0,1,2,1
174,1,0,2,3,0,0,1,1,4,1
175,1,0,1,1,0,2,1,1,2,1
176,1,0,1,2,0,0,1,1,4,1
177,0,0,2,4,1,2,0,1,3,1
178,1,0,1,1,2,1,1,1,3,1
179,1,0,2,1,2,0,1,1,2,4
180,1,0,1,1,2,0,1,1,2,1
181,1,0,2,1,0,0,1,1,4,4
182,1,0,1,1,2,1,1,1,3,1
183,1,0,1,1,0,0,1,1,3,1
184,1,0,2,3,1,1,0,1,3,3
185,1,0,2,1,2,1,1,1,2,4
186,1,0,2,1,0,0,1,1,3,3
187,1,0,2,2,0,0,0,1,2,4
188,0,0,2,4,1,2,0,1,3,4
189,1,0,2,1,2,1,1,1,3,3
190,1,0,2,2,2,0,1,1,2,1
191,1,0,1,1,2,1,1,1,2,1
192,1,0,1,1,2,1,1,1,3,3
193,1,0,2,1,2,0,1,1,3,4
194,1,0,1,3,2,1,1,1,3,3
195,1,0,1,2,2,0,0,1,3,4
196,1,0,1,1,2,2,1,1,3,1
197,1,0,2,1,2,1,0,1,3,4
198,1,0,1,1,2,0,1,1,2,1
199,1,0,2,1,2,0,1,1,3,4
200,1,0,1,1,0,1,1,1,2,3
201,1,0,2,1,0,1,1,1,2,3
202,1,0,1,2,0,0,0,1,3,4
203,1,0,1,1,1,2,0,1,3,3
204,1,0,2,1,1,1,0,1,3,3
205,0,0,1,2,2,0,1,1,3,3
206,1,0,2,1,0,1,1,1,3,3
207,0,0,2,2,0,0,1,1,3,3
208,1,0,2,1,0,0,1,1,3,4
209,1,0,2,1,0,1,1,1,3,3
210,1,0,2,3,0,1,1,1,3,3
211,1,0,2,1,0,1,0,1,3,1
212,1,0,1,1,0,1,1,1,3,1
213,1,0,2,2,2,0,1,1,3,4
214,1,0,2,1,0,1,1,1,3,4
215,1,0,1,1,0,1,1,1,2,3
216,1,0,2,1,2,1,0,1,3,4
217,1,0,1,1,2,1,1,1,2,1
218,1,0,1,1,2,1,1,1,2,1
219,1,0,2,1,2,1,0,1,3,3
220,1,0,2,2,2,0,1,1,2,3
221,1,0,2,2,2,0,1,1,3,4
222,1,0,1,1,2,1,0,1,2,3
223,1,0,2,1,0,1,0,1,3,3
224,1,0,1,1,0,1,0,1,3,1
225,1,0,2,1,2,1,1,1,3,4
226,1,0,1,1,2,1,1,1,2,3
227,1,0,1,2,2,0,1,1,3,4
228,1,0,1,1,1,2,0,1,3,4
229,1,0,1,1,0,0,0,1,2,1
230,1,0,2,1,0,1,1,1,3,1
231,1,0,1,1,0,1,1,1,2,1
232,1,0,1,1,0,0,1,1,3,3
233,1,0,2,1,0,1,1,1,2,4
234,1,0,1,2,0,0,1,1,2,4
235,1,0,1,1,0,1,0,1,3,1
236,1,0,1,1,1,0,1,1,2,1
237,1,0,2,1,0,1,0,1,2,3
238,1,0,1,1,2,2,0,1,3,3
239,1,0,2,1,2,2,1,1,3,3
240,1,0,1,2,0,0,1,1,3,3
241,1,0,2,1,1,2,0,1,4,4
242,1,0,1,1,2,0,0,1,3,3
243,1,0,2,1,0,0,1,1,3,1
244,1,0,2,1,0,0,0,1,3,4
245,1,0,2,1,0,2,0,1,3,4
246,1,0,1,2,2,1,1,1,3,1
247,1,0,1,1,2,1,0,1,3,3
248,1,0,2,1,2,1,1,1,3,1
249,1,0,1,1,2,1,1,1,3,1
250,1,1,2,4,2,2,0,1,3,4
251,1,0,1,1,2,1,1,1,3,1
252,1,0,2,1,2,0,1,1,3,1
253,1,0,1,1,2,1,0,1,3,1
254,1,0,1,1,0,0,1,1,3,1
255,1,0,2,1,0,0,0,1,3,3
256,1,0,2,1,0,1,1,1,1,1
257,1,0,1,2,2,0,1,1,1,4
258,1,0,1,1,2,1,1,1,2,1
259,1,0,2,2,0,0,1,1,1,4
260,1,0,1,1,2,0,0,1,1,1
261,1,0,2,1,2,0,1,1,1,1
262,1,0,1,1,0,1,1,1,2,1
263,1,0,2,1,0,1,1,1,1,3
264,1,0,2,1,2,0,0,1,3,3
265,1,0,1,1,0,1,1,1,3,1
266,1,0,2,1,0,0,1,1,3,4
267,1,0,2,1,0,2,1,1,3,4
268,1,0,2,2,0,0,1,1,3,4
269,1,0,1,1,0,1,1,1,3,1
270,1,0,2,1,0,1,1,1,2,4
271,1,0,1,1,2,1,1,1,4,1
272,1,0,2,1,2,1,0,1,3,4
273,0,0,2,3,1,1,0,1,4,4
274,1,0,2,1,2,1,1,1,3,4
275,1,0,2,1,2,1,1,1,3,4
276,0,0,2,4,1,2,0,1,3,4
277,1,0,2,1,2,1,1,1,2,4
278,1,0,1,1,2,1,1,1,3,1
279,1,0,1,1,2,1,1,1,2,1
280,1,0,2,1,2,0,1,1,3,1
281,1,0,1,1,0,2,0,1,4,4
282,1,0,1,1,2,1,0,1,3,3
283,1,0,2,1,2,1,0,1,2,3
284,1,0,2,1,1,1,1,1,2,4
285,1,0,1,2,1,0,0,1,3,4
286,1,0,2,1,1,1,0,1,2,3
287,1,0,2,2,1,0,0,1,4,4
288,1,0,1,1,2,1,0,1,2,3
289,1,0,2,2,1,0,1,1,3,4
290,1,0,2,1,0,1,0,1,2,4
291,1,0,2,2,0,0,0,1,4,4
292,1,0,2,2,0,0,1,1,3,4
293,1,0,1,1,2,1,1,1,3,1
294,1,0,2,1,2,1,1,1,3,4
295,1,0,1,1,0,0,1,1,2,1
296,1,0,2,1,0,0,1,1,3,4
297,1,0,2,1,0,2,0,1,3,4
298,1,0,1,1,0,2,0,1,3,4
299,1,0,2,1,0,2,0,1,4,4
300,1,0,2,2,0,0,1,1,3,1
301,1,0,1,1,0,2,1,1,2,1
302,1,0,2,1,0,0,1,1,3,4
303,1,0,2,1,2,1,1,1,3,4
304,1,0,1,1,2,1,1,1,2,1
305,1,0,1,1,0,0,1,1,2,1
306,1,0,2,1,0,0,1,1,3,4
307,1,0,2,1,0,1,1,1,3,4
308,1,0,2,1,0,1,1,1,3,4
309,1,0,2,2,0,0,1,1,4,4
310,1,0,1,1,0,1,1,1,3,1
311,1,0,2,1,0,1,0,1,3,4
312,1,0,1,2,0,0,0,1,3,4
313,1,0,2,1,0,1,0,1,2,4
314,1,0,1,2,0,0,1,1,3,3
315,0,0,2,4,2,0,1,1,3,1
316,1,0,1,2,0,0,0,1,3,4
317,1,0,2,1,0,1,1,1,3,4
318,1,0,1,2,2,0,1,1,2,4
319,1,0,2,2,2,0,1,1,3,1
320,1,0,1,1,2,2,0,1,3,3
321,1,0,2,1,2,1,0,1,4,4
322,1,0,1,1,0,1,1,1,3,3
323,1,0,2,2,0,0,1,1,3,1
324,0,0,1,2,2,0,1,1,3,1
325,1,0,2,1,2,1,0,1,4,3
326,1,0,1,1,2,1,0,1,3,3
327,1,0,1,1,0,2,0,1,4,4
