,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
35,3.0113955026156796,5.5,1.5,4.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
36,3.0113955026156796,5.5,1.5,4.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
37,1.7481990961130693,5.5,4.5,4.5,3.0,4.5,1.0,4.5,4.5,4.5,3.0,3.0,4.5,4.5,0.0,4.5,0.0
38,0.4850026896104595,5.5,3.0,4.5,3.0,3.0,1.0,3.0,1.5,3.0,3.0,4.5,4.5,0.0,4.5,0.0,0.0
39,1.7481990961130693,3.5,3.0,4.5,1.5,3.0,1.0,1.5,4.5,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.5
40,0.4850026896104595,3.5,3.0,4.5,1.5,3.0,2.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,1.5,0.0,0.0
41,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,4.5,3.0,4.5,3.0,4.5,0.0,1.5,1.5,1.5,0.0
42,-0.7781937168921504,3.5,4.5,4.5,1.5,1.5,1.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,0.0,1.5,1.5
43,0.4850026896104595,3.5,3.0,4.5,1.5,3.0,1.0,1.5,3.0,1.5,3.0,3.0,1.5,1.5,0.0,1.5,0.0
44,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,4.5,3.0,1.5,3.0,3.0,1.5,0.0,0.0,1.5,1.5
45,0.4850026896104595,3.5,3.0,4.5,1.5,3.0,1.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,0.0,1.5,1.5
46,0.4850026896104595,3.5,3.0,4.5,1.5,3.0,1.0,1.5,1.5,1.5,1.5,3.0,1.5,0.0,0.0,1.5,0.0
47,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,2.0,3.0,3.0,1.5,3.0,1.5,1.5,4.5,4.5,0.0,0.0
48,-0.7781937168921504,3.5,4.5,4.5,4.5,3.0,2.0,4.5,1.5,3.0,4.5,3.0,0.0,0.0,1.5,0.0,1.5
49,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,1.5,3.0,1.5,3.0,3.0,1.5,0.0,0.0,1.5,1.5
50,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,1.5,1.5
51,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,4.5,3.0,1.5,3.0,1.5,1.5,0.0,1.5,1.5,0.0
52,0.4850026896104595,3.5,4.5,3.0,3.0,3.0,1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,0.0
53,0.4850026896104595,3.5,4.5,4.5,1.5,1.5,2.0,4.5,3.0,1.5,1.5,4.5,0.0,1.5,0.0,1.5,1.5
54,-0.7781937168921504,3.5,4.5,4.5,1.5,1.5,1.0,1.5,4.5,1.5,4.5,3.0,1.5,1.5,1.5,1.5,0.0
55,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,1.0,1.5,3.0,1.5,4.5,1.5,1.5,0.0,1.5,1.5,0.0
56,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,3.0,1.5,1.5,4.5,3.0,1.5,1.5,0.0,1.5,1.5
57,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,1.0,4.5,3.0,1.5,3.0,3.0,1.5,4.5,4.5,1.5,1.5
58,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,4.5,3.0,1.5,3.0,1.5,1.5,1.5,1.5,1.5,1.5
59,-0.7781937168921504,3.5,1.5,4.5,1.5,1.5,1.0,4.5,3.0,1.5,4.5,4.5,1.5,1.5,0.0,1.5,1.5
60,-0.7781937168921504,5.5,3.0,4.5,4.5,3.0,1.0,1.5,3.0,4.5,3.0,3.0,1.5,0.0,4.5,4.5,0.0
61,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,1.5,3.0,1.5,3.0,4.5,1.5,0.0,1.5,1.5,0.0
62,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,3.0,3.0,1.5,3.0,4.5,0.0,0.0,4.5,4.5,0.0
63,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,1.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,1.5,1.5,1.5
64,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,1.5,1.5,1.5,4.5,3.0,1.5,1.5,0.0,1.5,1.5
65,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,1.5,1.5,4.5,3.0,3.0,1.5,4.5,0.0,1.5,1.5
66,0.4850026896104595,3.5,3.0,4.5,4.5,3.0,2.0,1.5,3.0,1.5,3.0,1.5,0.0,1.5,0.0,1.5,0.0
67,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,1.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,4.5,1.5,4.5
68,-0.7781937168921504,5.5,1.5,4.5,1.5,3.0,1.0,1.5,1.5,1.5,1.5,3.0,1.5,0.0,1.5,0.0,1.5
69,-0.7781937168921504,3.5,4.5,3.0,1.5,3.0,1.0,3.0,4.5,3.0,3.0,1.5,0.0,4.5,1.5,4.5,1.5
70,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,1.0,1.5,3.0,3.0,1.5,1.5,0.0,0.0,4.5,0.0,1.5
71,-0.7781937168921504,3.5,4.5,4.5,4.5,4.5,1.0,1.5,3.0,4.5,1.5,1.5,1.5,1.5,4.5,0.0,1.5
72,0.4850026896104595,3.5,4.5,4.5,1.5,4.5,1.0,1.5,1.5,3.0,3.0,1.5,0.0,4.5,4.5,1.5,0.0
73,-0.7781937168921504,3.5,4.5,4.5,1.5,3.0,1.0,1.5,3.0,1.5,1.5,1.5,1.5,1.5,4.5,0.0,1.5
