,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
143,1,0,1,1,2,1,1,1,2,1
144,1,0,2,1,0,2,0,1,3,4
145,1,0,1,2,2,0,1,1,2,4
146,1,0,1,1,1,1,1,1,2,1
147,1,0,1,1,0,1,1,1,3,1
148,1,0,1,2,0,0,1,1,3,4
149,1,0,1,1,0,2,0,1,4,4
150,0,0,2,2,2,0,1,1,4,1
151,1,0,2,3,0,1,0,1,4,3
152,1,0,2,1,0,1,0,1,3,4
153,1,0,2,1,0,1,1,1,3,4
154,1,0,2,2,0,0,0,1,2,4
155,1,0,1,1,0,1,1,1,2,1
156,1,0,1,1,0,0,1,1,1,3
157,1,0,1,2,0,0,0,1,2,4
158,1,0,1,1,0,1,1,1,2,1
159,1,0,1,1,0,1,1,1,3,3
160,1,0,2,2,0,0,1,1,3,4
161,1,0,1,1,0,2,0,1,3,3
162,1,0,2,1,0,2,0,1,3,3
163,1,0,2,1,0,1,1,1,3,1
164,1,0,1,2,0,0,1,1,3,1
165,1,0,1,1,0,2,0,1,3,3
166,1,0,1,1,0,1,1,1,3,1
167,1,0,1,1,2,1,1,1,2,1
168,1,0,2,1,2,1,1,1,3,1
169,1,0,1,1,0,2,0,1,2,4
170,1,0,2,1,0,2,0,1,3,4
171,1,0,2,2,0,0,1,1,2,1
172,1,0,2,1,0,1,1,1,3,1
173,1,0,2,1,0,2,0,1,2,4
174,1,0,1,1,2,2,0,1,4,3
175,1,0,1,2,0,0,0,1,3,4
176,1,0,2,1,0,1,1,1,2,1
177,1,0,1,2,0,0,0,1,2,4
178,1,1,1,1,1,2,0,1,3,4
179,1,0,2,1,0,1,0,1,2,4
180,1,0,1,1,2,1,0,1,3,3
181,1,0,2,1,2,0,0,1,2,4
182,1,0,1,1,2,0,1,1,3,1
183,1,0,1,1,2,0,1,1,3,1
184,1,0,1,1,2,1,0,1,3,3
185,1,0,2,1,2,1,0,1,1,4
186,0,0,2,4,0,2,0,1,2,4
187,1,0,2,1,1,1,1,1,5,1
188,1,0,2,2,0,0,1,1,5,1
189,1,0,2,2,0,0,1,1,5,3
190,1,0,1,2,0,0,1,1,4,1
191,1,0,2,4,0,2,1,1,3,1
192,1,0,1,1,0,1,1,1,4,1
193,1,0,2,1,0,1,0,1,5,3
194,1,0,2,2,0,0,1,1,5,1
195,1,0,1,1,2,1,1,1,3,1
196,1,0,2,1,2,0,1,1,3,1
197,1,0,1,1,0,0,1,1,2,1
198,1,0,2,1,0,1,0,1,2,4
199,1,0,1,1,1,1,1,1,3,1
200,1,0,1,1,1,2,0,1,4,4
201,1,0,2,1,0,0,1,1,4,1
202,1,0,2,1,2,2,0,1,4,4
203,0,0,2,2,2,1,1,1,4,3
204,1,0,1,2,2,0,1,1,2,1
205,1,0,2,1,2,1,1,1,3,4
206,1,0,1,2,2,0,1,1,2,4
207,1,0,2,1,2,1,0,1,3,3
208,1,0,1,2,0,0,0,1,3,1
209,1,0,2,1,0,1,0,1,3,4
210,1,0,1,4,1,2,1,1,3,1
211,1,0,2,2,1,0,1,1,3,1
212,1,0,1,1,2,1,1,1,3,3
213,1,0,2,1,2,1,1,1,3,1
214,1,0,2,2,2,0,1,1,3,4
215,1,0,2,1,0,0,0,1,3,3
216,1,0,1,2,0,0,0,1,2,4
217,1,0,2,1,1,1,1,1,2,1
218,1,0,1,2,1,0,0,1,2,4
219,1,0,1,1,1,1,1,1,3,1
220,1,0,2,1,0,0,1,1,3,1
221,1,0,1,1,0,1,1,1,2,1
222,1,0,1,1,2,1,1,1,3,1
223,1,0,2,1,0,2,0,1,3,4
224,1,0,1,3,2,1,0,1,3,3
225,1,0,1,1,2,1,1,1,2,1
226,1,0,1,1,2,1,1,1,2,3
227,1,0,1,1,1,1,1,1,2,1
228,1,0,2,1,2,1,0,1,3,3
229,1,0,2,1,2,0,0,1,2,4
230,1,0,1,3,0,1,0,1,3,3
231,1,0,2,1,1,1,0,1,4,3
232,1,0,2,2,1,0,1,1,4,1
233,0,0,1,2,2,1,0,1,4,3
234,1,0,2,1,1,2,0,1,4,4
235,1,0,2,1,0,0,0,1,4,3
236,1,0,1,1,1,2,0,1,4,3
237,1,0,2,1,2,0,1,1,3,4
238,0,0,1,2,2,1,0,1,4,3
239,1,0,2,1,2,1,0,1,2,4
240,1,0,2,2,2,0,1,1,2,1
241,1,0,2,2,2,0,1,1,3,4
242,1,0,1,1,2,0,1,1,2,1
243,1,0,1,1,0,1,1,1,2,1
244,1,0,1,1,2,1,1,1,3,1
245,1,0,2,1,2,1,1,1,3,4
246,1,0,1,1,2,2,0,1,2,1
247,1,0,1,2,1,0,0,1,3,1
248,1,0,1,1,1,1,1,1,2,3
249,1,0,2,1,1,1,0,1,1,4
250,1,0,1,2,1,0,0,1,3,4
251,1,0,2,2,1,0,1,1,2,1
252,1,0,2,1,0,1,1,1,3,3
253,1,0,1,2,2,0,0,1,3,4
254,1,0,1,1,2,0,0,1,3,3
255,1,0,1,1,0,1,1,1,2,3
256,1,0,2,1,0,1,1,1,3,4
257,1,0,2,2,2,0,0,1,3,4
258,1,0,2,1,0,1,1,1,3,3
259,1,0,2,1,0,0,1,1,2,4
260,1,0,2,3,2,1,1,1,3,1
261,1,0,1,1,2,1,1,1,3,3
262,1,0,1,2,2,0,1,1,2,1
263,1,0,2,2,2,0,1,1,2,1
264,1,1,2,1,0,2,0,1,2,4
265,1,1,1,1,0,2,0,1,2,4
266,1,0,2,3,2,1,1,1,4,1
267,1,0,2,1,2,0,1,1,3,1
268,1,0,2,1,1,0,0,1,3,4
269,1,0,1,1,0,1,1,1,3,3
270,1,0,2,1,0,1,1,1,2,1
271,0,0,2,3,2,1,1,1,2,1
272,1,0,1,1,0,1,1,1,2,1
273,1,0,1,2,0,0,1,1,2,4
274,1,0,1,1,0,1,1,1,2,3
275,1,0,1,4,2,2,1,1,3,4
276,1,0,1,2,2,0,1,1,3,1
277,1,0,2,1,2,0,1,1,3,4
278,1,0,2,2,0,0,1,1,2,1
279,1,0,2,4,2,1,1,1,1,3
280,1,0,2,2,2,0,1,1,4,4
281,1,0,2,2,0,0,1,1,3,1
