,Q1,Q2B,Q3,Q6A3,Q6A6,Q6A8,Q6A9,Q6A11,Q8,Q9,Q11,Q12B1,Q12E1,Q12F1,Q13,Q15,Q17A1,Q18,Q20,Q21A,Q24B,Q28,Q32A4,Q34,Q37,Q40,Q41,Q42A,Q43,Q44A,Q45A3,Q47,Q47C,Q48,Q49,FAM1,MAR,DE2,DE3,DE7,DE8,DE9
33,0,3,2,4,4,4,4,4,3,2,4,0,1,1,3,2,0,1,1,0,1,4.5,3.0,70,1,2,2,4,0,0,3,0,0,1,1,1,1,2,0,1,3,4
34,1,3,2,4,2,2,4,2,3,3,3,1,0,1,2,2,1,1,0,1,0,3.0,1.5,70,0,1,1,4,2,3,3,0,0,0,1,1,1,0,1,1,3,4
35,1,3,0,3,2,3,3,2,2,2,3,1,0,1,3,2,1,1,0,1,0,3.0,1.5,50,1,1,2,2,2,0,2,0,0,0,1,1,2,0,0,1,2,4
36,1,3,1,4,2,3,2,2,3,3,3,0,0,1,2,2,1,1,0,1,0,3.0,1.5,50,2,1,1,4,2,0,2,0,0,0,2,1,1,0,0,1,2,4
37,0,4,1,3,2,2,4,4,3,2,3,1,1,1,4,2,0,1,0,0,1,1.5,1.5,50,1,2,2,4,0,0,3,0,0,0,1,1,1,1,0,1,3,4
38,0,6,1,4,4,4,4,3,3,2,4,0,1,1,3,2,1,0,1,0,1,3.0,3.0,70,1,1,3,1,1,0,1,2,1,2,0,0,2,0,1,1,3,3
39,0,6,1,4,4,4,3,2,2,3,4,0,0,1,3,3,1,1,0,0,1,3.0,3.0,60,1,2,1,2,0,0,1,2,2,0,0,1,1,0,0,1,3,1
40,0,6,1,3,4,3,4,3,3,4,2,0,0,1,4,2,1,1,1,0,0,4.5,1.5,82,1,1,2,4,1,3,2,3,3,2,1,0,3,2,0,1,3,3
41,0,6,1,4,2,3,4,4,3,4,4,0,0,1,3,2,1,1,0,0,1,3.0,1.5,62,1,2,3,1,0,0,3,1,3,1,1,1,1,1,1,1,3,1
42,0,6,1,3,4,2,2,2,3,3,4,0,0,1,4,2,1,1,0,0,1,3.0,4.5,50,1,1,2,1,0,0,3,2,3,0,2,1,1,0,1,1,3,1
43,1,6,2,4,3,4,4,2,3,2,4,0,0,1,3,2,1,1,1,0,0,4.5,1.5,85,0,2,1,1,2,0,0,2,3,2,1,1,1,1,1,1,2,1
44,1,4,1,4,2,4,2,3,4,3,4,1,1,1,4,3,1,1,1,0,0,3.0,1.5,75,1,2,2,2,2,2,0,0,0,0,2,1,2,0,0,1,3,4
45,1,3,1,2,3,4,4,4,3,3,4,0,0,1,4,2,1,0,1,0,0,3.0,3.0,80,0,1,2,3,0,0,2,2,3,1,2,1,2,1,1,1,3,1
46,0,6,0,2,2,2,2,2,4,2,4,0,0,0,3,2,0,0,1,0,2,1.5,1.5,20,1,2,1,4,2,0,0,0,0,2,0,0,3,2,0,1,5,4
47,1,6,2,3,3,3,2,2,3,3,4,1,0,1,4,2,1,0,0,0,1,4.5,4.5,70,0,2,2,1,2,0,3,2,3,0,2,1,1,0,1,1,2,1
48,0,4,0,4,3,2,2,3,3,4,3,0,0,0,3,2,0,1,1,0,0,4.5,4.5,90,1,2,2,4,2,0,3,0,0,0,2,1,1,1,0,1,2,4
49,1,4,0,2,4,4,4,2,3,2,3,0,0,1,4,3,1,1,0,0,0,3.0,3.0,95,1,2,1,3,2,0,3,2,3,0,2,1,2,0,1,1,3,1
50,0,6,0,4,2,3,3,4,3,2,3,0,0,0,2,2,1,0,1,0,5,1.5,3.0,70,1,2,2,4,2,0,2,0,0,0,0,1,1,2,0,1,3,4
51,0,4,1,2,3,4,3,2,2,3,3,0,1,1,4,3,1,1,0,0,0,4.5,3.0,50,1,2,2,2,1,0,3,2,3,0,1,1,1,0,1,1,3,1
52,0,6,2,4,4,4,4,3,2,2,3,0,0,1,3,2,0,1,1,0,2,1.5,1.5,84,1,2,2,2,2,0,1,1,3,2,2,1,1,2,0,1,3,3
53,1,4,2,4,3,2,4,2,3,2,3,0,1,1,3,3,1,0,0,0,1,4.5,4.5,80,0,1,2,2,2,3,2,0,0,0,1,1,2,0,1,1,3,4
