,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
11658,0,3,0,2,1,2,1,1,0,2
11659,0,3,0,2,1,2,1,1,0,2
11660,1,3,0,2,1,0,0,0,1,2
11661,0,3,0,3,2,2,1,1,0,1
11662,0,3,0,2,1,1,1,1,1,2
11663,0,3,0,1,1,3,2,1,0,2
11664,0,3,0,2,1,0,0,0,2,2
11665,0,3,0,1,1,2,1,1,1,2
11666,2,2,3,3,3,2,1,2,2,2
11667,0,2,3,3,3,2,1,2,1,2
11668,0,3,0,3,3,0,0,0,1,1
11669,2,3,0,3,2,2,1,1,0,2
11670,2,3,0,3,2,0,0,0,2,1
11671,1,3,0,2,1,2,1,2,0,2
11672,0,3,0,2,1,0,0,0,1,1
11673,0,3,0,2,1,0,0,0,1,2
11674,0,3,0,3,2,2,1,3,0,1
11675,0,2,3,2,2,0,0,0,1,2
11676,1,3,0,2,2,1,1,2,1,1
11677,0,3,0,2,2,3,2,1,0,1
11678,1,3,0,1,2,0,0,0,0,1
11679,1,3,0,2,3,0,0,0,0,2
11680,2,3,0,3,3,1,1,3,1,2
11681,0,3,0,2,2,1,1,2,2,2
11682,2,3,0,2,2,0,0,0,0,2
11683,0,2,2,2,1,2,1,2,0,2
11684,2,3,0,3,3,0,0,0,0,0
11685,0,3,0,2,2,1,1,2,1,2
11686,2,3,0,3,3,0,0,0,1,0
11687,2,3,0,3,2,0,0,0,1,1
11688,2,3,0,3,3,2,1,2,2,0
11689,2,3,0,3,3,2,1,3,1,0
11690,2,3,0,3,3,0,0,0,1,1
11691,0,3,0,3,2,3,2,2,0,0
11692,0,3,0,3,3,3,2,3,2,0
11693,0,3,0,3,3,2,1,2,1,0
11694,2,3,0,3,3,2,1,2,0,0
11695,2,3,0,3,3,3,2,2,0,0
11696,2,3,0,3,2,0,0,0,0,0
11697,2,3,0,3,3,3,2,3,2,0
11698,2,3,0,3,3,2,1,3,1,1
11699,2,3,0,3,3,2,1,3,0,0
11700,0,3,0,3,3,2,1,3,1,1
11701,0,3,0,3,2,2,1,3,2,2
11702,2,3,0,3,2,2,1,1,1,1
11703,0,2,2,3,2,2,1,2,2,2
11704,2,3,0,3,3,0,0,0,1,1
11705,2,3,0,3,2,1,1,3,1,2
11706,0,3,0,3,2,3,2,2,1,1
11707,0,3,0,3,3,2,1,3,1,2
11708,0,3,0,3,3,2,2,3,0,0
11709,2,2,2,2,1,0,0,0,1,0
11710,0,2,1,3,3,0,0,0,1,0
11711,0,3,0,3,1,0,0,0,0,1
11712,0,3,0,3,1,2,1,1,0,1
11713,1,2,1,2,2,0,0,0,0,1
11714,0,3,0,2,3,3,2,1,0,1
11715,1,3,0,1,2,3,2,2,0,0
11716,0,3,0,3,3,0,0,0,1,0
11717,0,3,0,2,3,1,1,3,1,1
11718,0,2,2,2,1,0,0,0,1,2
11719,1,3,0,3,3,2,1,3,0,0
11720,0,3,0,3,3,0,0,0,0,0
11721,0,3,0,3,2,0,0,0,0,0
11722,0,3,0,1,1,0,0,0,1,0
11723,0,2,3,3,2,0,0,0,1,2
11724,0,3,0,1,2,0,0,0,2,1
11725,2,3,0,3,3,0,0,0,0,0
11726,1,3,0,3,3,3,2,2,0,0
11727,1,3,0,3,3,0,0,0,1,0
11728,0,2,2,3,2,0,0,0,0,1
11729,0,3,0,1,2,2,1,3,2,1
11730,0,3,0,2,1,2,1,2,1,1
11731,0,2,3,3,2,2,1,3,2,2
11732,0,2,3,3,1,0,0,0,2,1
11733,0,3,0,1,2,0,0,0,2,1
11734,0,3,0,2,3,3,2,2,2,0
11735,0,2,3,3,2,2,1,2,2,1
11736,0,3,0,3,1,2,1,2,1,0
11737,0,3,0,3,2,0,0,0,2,2
11738,0,3,0,3,2,3,2,2,0,0
11739,0,2,2,2,2,0,0,0,2,2
11740,1,2,2,2,3,2,1,3,1,1
11741,0,2,3,3,2,2,1,2,1,1
11742,0,2,2,2,2,2,1,3,1,1
11743,0,3,0,3,1,0,0,0,2,0
11744,1,3,0,3,2,1,1,3,1,1
11745,0,2,3,3,3,2,1,3,2,1
11746,1,3,0,1,1,2,1,2,0,1
11747,0,3,0,3,1,2,1,3,2,1
11748,0,3,0,3,1,2,1,3,2,1
11749,0,3,0,3,2,3,1,3,2,0
11750,0,2,2,3,3,2,1,3,2,1
11751,0,2,3,3,3,2,1,3,1,0
11752,0,3,0,3,1,2,1,3,2,0
11753,0,3,0,3,1,1,1,3,2,1
11754,1,2,2,3,3,2,1,3,1,1
11755,0,3,0,3,3,2,1,3,2,2
11756,1,1,2,2,2,3,1,3,2,1
11757,2,3,0,3,1,3,1,3,1,0
11758,1,2,2,3,2,2,1,3,1,1
11759,0,2,2,3,3,0,0,0,2,1
11760,0,3,0,3,1,3,2,3,2,1
11761,2,3,0,3,3,0,0,0,0,1
11762,0,3,0,2,3,1,1,2,0,1
11763,0,3,0,3,2,1,1,3,2,0
11764,0,3,0,3,3,2,1,2,0,1
11765,2,3,0,2,2,0,0,0,0,0
11766,0,2,3,2,2,0,0,0,1,1
11767,2,1,3,2,3,2,1,3,2,1
11768,2,2,3,2,3,2,1,3,2,1
11769,1,3,0,3,1,1,1,2,2,1
11770,2,1,3,3,2,3,2,3,2,0
11771,2,3,0,2,2,3,2,3,2,0
11772,0,3,0,1,2,2,1,2,2,1
11773,0,1,3,3,3,2,1,3,2,1
11774,0,3,0,2,2,0,0,0,2,0
11775,0,3,0,3,2,2,1,2,1,0
11776,2,3,0,3,2,2,1,3,0,1
11777,2,3,0,3,3,2,1,3,1,0
11778,2,3,0,3,2,0,0,0,2,1
11779,2,3,0,3,3,1,1,3,2,0
11780,2,2,3,3,3,2,1,3,2,0
11781,2,3,0,3,3,2,1,3,2,0
11782,2,3,0,3,3,3,2,3,2,0
11783,2,2,3,3,3,0,0,0,1,0
11784,2,3,0,3,3,1,1,3,2,1
11785,2,3,0,3,3,0,0,0,2,1
11786,2,3,0,3,3,3,1,3,2,0
11787,2,3,0,3,3,2,1,3,2,0
11788,2,3,0,3,3,2,1,3,2,0
11789,2,3,0,3,3,0,0,0,1,0
11790,2,3,0,3,3,0,0,0,1,0
11791,2,3,0,3,3,0,0,0,2,0
11792,2,3,0,3,2,2,1,2,2,0
11793,2,3,0,3,3,0,0,0,0,0
11794,2,2,3,3,3,2,1,2,1,0
11795,0,3,0,3,2,0,0,0,1,0
11796,2,3,0,3,3,0,0,0,1,0
11797,2,3,0,3,2,2,1,2,1,0
11798,1,3,0,3,1,2,1,3,0,0
11799,1,3,0,3,3,2,2,2,0,0
11800,0,3,0,3,3,0,0,0,0,0
11801,0,3,0,3,2,2,2,3,0,0
11802,0,1,3,3,3,0,0,0,0,0
11803,1,1,2,3,3,2,2,2,0,0
11804,0,3,0,3,3,2,1,3,1,0
11805,1,1,3,2,2,1,2,3,0,0
11806,0,3,0,3,3,2,2,3,1,1
11807,0,3,0,3,3,1,1,3,0,0
11808,0,3,0,3,3,0,0,0,1,0
11809,0,2,3,3,3,2,1,3,0,1
11810,0,3,0,2,1,0,0,0,0,1
11811,2,2,2,2,2,0,0,0,0,1
11812,1,3,0,1,1,2,1,1,1,2
11813,0,3,0,2,1,3,1,1,2,1
11814,0,3,0,1,1,0,0,0,1,2
11815,0,3,0,2,2,3,1,1,2,1
11816,1,3,0,1,2,0,0,0,2,2
11817,0,3,0,1,1,3,1,1,2,2
11818,0,2,3,3,2,2,1,2,1,2
11819,0,3,0,3,3,1,1,3,1,2
11820,2,3,0,3,2,0,0,0,1,2
