Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q36A,Q42C
80,0,1,0,5,4,2,con,not,0.0,0.0
60,2,0,0,4,2,1,pro,not,2.0,0.0
50,2,2,0,2,2,1,con,gu,2.0,40.0
70,2,2,1,5,2,1,con,far,2.0,30.0
75,0,2,0,2,2,1,pro,far,2.0,40.0
60,2,0,0,4,1,1,pro,dong,1.0,10.0
80,0,1,2,4,1,2,neu,far,0.0,40.0
70,2,1,1,2,2,2,con,gu,0.0,30.0
85,2,0,0,3,2,2,pro,gu,0.0,10.0
75,2,2,0,3,4,2,pro,far,1.0,30.0
70,2,1,1,3,1,2,pro,far,0.0,60.0
80,0,2,1,2,2,1,neu,gu,2.0,10.0
85,2,2,1,4,1,1,neu,far,0.0,40.0
75,2,1,1,4,2,2,neu,far,0.0,20.0
85,0,0,0,2,2,2,pro,not,2.0,0.0
90,2,2,2,5,3,2,con,gu,2.0,20.0
89,2,2,1,2,2,1,con,far,2.0,35.0
80,2,1,2,2,3,1,neu,gu,0.0,20.0
80,2,1,1,5,1,2,con,far,1.0,40.0
80,2,2,2,1,2,2,pro,gu,2.0,30.0
85,2,2,1,2,2,1,con,far,0.0,20.0
85,2,1,1,1,2,2,neu,gu,0.0,20.0
75,2,1,1,3,3,2,con,far,1.0,25.0
85,2,1,1,1,2,2,neu,gu,0.0,20.0
80,2,0,2,5,3,2,con,dong,2.0,10.0
90,2,1,1,3,3,1,con,far,2.0,55.0
85,2,0,1,4,2,1,neu,far,2.0,50.0
80,2,1,1,4,1,2,neu,far,1.0,40.0
80,0,2,1,4,3,2,con,far,1.0,25.0
